Name of Project,Business Unit,Project Design Level,No of Levels,GSF,SOG,Metal Deck,Concrete,Structural Steel-MT,Concrete Coefficient (cft/sft),Structural Steel,SOG Coeff,Metal Deck Coeff
TN State Library & Archives,US - Nashville,DD,4.00,238800.00,24371.00,195965.00,217308.00,915.00,0.91,3.83,0.10,0.82
Facebook,US - Ohio,DD,2.00,481878.00,49179.00,395442.00,438509.00,1846.00,0.91,3.83,0.10,0.82
OSU Inpatient Tower Progress Set,US - Ohio,SD,25.00,1658658.00,169279.00,1361138.00,1509379.00,6353.00,0.91,3.83,0.10,0.82
Children's Hospital Of Philadelphia - Office Tower PAOB GMP,US - Philadelphia,CD,22.00,560000.00,57152.00,459551.00,509600.00,2145.00,0.91,3.83,0.10,0.82
PSU Ostermayer Lab,US - Philadelphia,GMP,4.00,21739.00,2219.00,17840.00,19782.00,83.00,0.91,3.83,0.10,0.82
Sonic Car Dealerships-Jaguar Land rover Central,US - Texas,CD,2.00,63500.00,6481.00,52110.00,57785.00,243.00,0.91,3.83,0.10,0.82
Sonic Car Dealerships-Porsche,US - Texas,CD,5.00,90963.00,9283.00,74647.00,82776.00,348.00,0.91,3.83,0.10,0.82
Wexford Science and Technology,US - Philadelphia,SD,12.00,429493.00,43833.00,352453.00,390839.00,1645.00,0.91,3.83,0.10,0.82
Server farm - Toronto,Int-Canada,DD,1.00,79092.00,8072.00,64905.00,71974.00,303.00,0.91,3.83,0.10,0.82
NY Hospital ,US- New York ,CD,5.00,116905.00,11931.00,95935.00,106384.00,448.00,0.91,3.83,0.10,0.82
Universal Project 910 - MEP Take off ,US-Florida,DD,10.00,455652.00,46503.00,373920.00,414643.00,1745.00,0.91,3.83,0.10,0.82
Air Products-Admin Electrical,US-Philadelphia,CD,11.00,525000.00,53580.00,430829.00,477750.00,2011.00,0.91,3.83,0.10,0.82
One uCity,US-Philadelphia,CD,14.00,483000.00,49294.00,396362.00,439530.00,1850.00,0.91,3.83,0.10,0.82
Air Products -R&D Building,US-Philadelphia,CD,2.00,249676.00,25481.00,204891.00,227205.00,956.00,0.91,3.83,0.10,0.82
Air Products -Garage Building,US-Philadelphia,CD,7.00,677400.00,69134.00,555892.00,616434.00,2594.00,0.91,3.83,0.10,0.82
PITT Cub,PANJ - Pittsburgh,SD,4.00,60000.00,6123.00,49238.00,54600.00,230.00,0.91,3.83,0.10,0.82
Horton Campus-Building A ,US - San Diego,DD,11.00,375895.00,38363.00,308469.00,342064.00,1440.00,0.91,3.83,0.10,0.82
Horton Campus-Campus buildings,US - San Diego,DD,6.00,1019533.00,104051.00,836655.00,927775.00,3905.00,0.91,3.83,0.10,0.82
Horton Campus-Bradley building,US - San Diego,DD,3.00,11208.00,1144.00,9198.00,10199.00,43.00,0.91,3.83,0.10,0.82
Horton Campus-Parkcafe building,US - San Diego,DD,1.00,4334.00,442.00,3557.00,3944.00,17.00,0.91,3.83,0.10,0.82
NAO 5&6 model quantity extraction,GCF,DD,2.00,1000000.00,102058.00,820626.00,910000.00,3830.00,0.91,3.83,0.10,0.82
Hall Of Fame - Center of Performance ,US-Ohio,DD,1.00,85311.00,8707.00,70008.00,77633.00,327.00,0.91,3.83,0.10,0.82
